100 3

0.5	0.875	0.515
0.625	0.125	0.2825
0.3875	0.8125	0.8275
0.7125	0.075	0.3725
0.6375	0.0375	0.305
0.65	0.075	0.275
0.5	0.725	0.6925
0.15	0.375	0.105
0.2	0.2625	0.04
0.425	0.775	0.805
0.4625	0.7125	0.5425
0.0875	0.35	0.0025
0.0375	0.375	0.0425
0.7375	0.125	0.36
0.4625	0.65	0.57
0.45	0.75	0.5575
0.4375	0.85	0.615
0.225	0.35	0.055
0.05	0.3875	0.1125
0.05	0.375	0.07
0.125	0.35	0.0075
0.475	0.6375	0.7175
0.4875	0.7875	0.575
0.8	0.1125	0.3625
0.45	0.8125	0.77
0.0375	0.4625	0.105
0.1125	0.4875	0.07
0.375	0.6875	0.575
0.0375	0.4	0.065
0.875	0.05	0.3225
0.8375	0.025	0.3525
0.7875	0.025	0.3175
0.0625	0.425	0.0825
0.2375	0.475	0.025
0.7	0.075	0.3525
0.05	0.4625	0.02
0.4625	0.6625	0.725
0.4125	0.8125	0.8725
0.6625	0.1	0.2875
0.4875	0.7375	0.605
0.4125	0.6375	0.84
0.7375	0.125	0.35
0.2	0.35	0.0475
0.4125	0.6625	0.6
0.7125	0.0125	0.36
0.875	0.0125	0.3175
0.0625	0.2875	0.02
0.0875	0.45	0.09
0.475	0.75	0.81
0.725	0.0375	0.34
0.0625	0.5	0.075
0.85	0	0.3425
0.475	0.775	0.6925
0.6625	0.0875	0.31
0.825	0.05	0.3075
0.85	0	0.3325
0.2	0.4125	0.0975
0.4875	0.75	0.65
0.4125	0.6875	0.8575
0.1875	0.25	0.04
0.45	0.625	0.7375
0.3875	0.8125	0.54
0.1375	0.2625	0.0575
0.4625	0.7625	0.62
0.625	0.025	0.355
0.1375	0.4375	0.0575
0.8	0.025	0.265
0.475	0.725	0.705
0.1	0.35	0.0525
0.0125	0.4	0.0675
0.875	0.075	0.3125
0.6375	0.1125	0.3275
0.675	0.125	0.335
0.425	0.6375	0.8175
0.8125	0.0875	0.2875
0.05	0.3625	0.0975
0.5	0.8625	0.8425
0.725	0.1125	0.2575
0.025	0.3	0.08
0.7625	0.05	0.2575
0.6875	0.075	0.3575
0.725	0.0375	0.35
0.0875	0.4375	0.0675
0.675	0.0625	0.2525
0.075	0.3	0.0775
0.225	0.3125	0.0975
0.7875	0.125	0.33
0.4625	0.8625	0.8175
0.05	0.25	0.0525
0.4875	0.7	0.5425
0.375	0.725	0.73
0.7375	0.1	0.3275
0.7	0.0875	0.35
0.075	0.25	0.1175
0.05	0.275	0.02
0.4625	0.8125	0.535
0.6625	0.0375	0.375
0.2125	0.35	0.0725
0.4	0.825	0.575
0.45	0.8375	0.81
